"","func","treatment","Energy","Time","Memory","CPU"
"11","mergesort","baseline","Mean: 118.294
Median: 118.38
SD: 0.487
IQR: 0.03","Mean: 39.894
Median: 39.896
SD: 0.079
IQR: 0.098","Mean: 4.031
Median: 4.031
SD: 0.044
IQR: 0.047","Mean: 25.208
Median: 25.209
SD: 0.062
IQR: 0.083"
"12","mergesort","optimized","Mean: 102.539
Median: 102.54
SD: 0.014
IQR: 0.02","Mean: 34.075
Median: 34.059
SD: 0.075
IQR: 0.1","Mean: 4.038
Median: 4.016
SD: 0.052
IQR: 0.059","Mean: 25.205
Median: 25.206
SD: 0.06
IQR: 0.075"
"13","prefix_sum","baseline","Mean: 28.711
Median: 28.62
SD: 0.484
IQR: 0.017","Mean: 6.321
Median: 6.31
SD: 0.081
IQR: 0.112","Mean: 4.043
Median: 4.062
SD: 0.048
IQR: 0.062","Mean: 24.545
Median: 24.535
SD: 0.271
IQR: 0.381"
"14","prefix_sum","optimized","Mean: 28.699
Median: 28.61
SD: 0.489
IQR: 0.02","Mean: 6.574
Median: 6.567
SD: 0.053
IQR: 0.084","Mean: 4.055
Median: 4.047
SD: 0.093
IQR: 0.062","Mean: 24.69
Median: 24.705
SD: 0.201
IQR: 0.224"
"15","product_sum","baseline","Mean: 12.76
Median: 12.76
SD: 0.01
IQR: 0.018","Mean: 0.605
Median: 0.611
SD: 0.055
IQR: 0.105","Mean: 4.034
Median: 4.016
SD: 0.05
IQR: 0.043","Mean: 22.761
Median: 22.65
SD: 1.241
IQR: 1.978"
"16","product_sum","optimized","Mean: 13.298
Median: 12.77
SD: 1.081
IQR: 0.02","Mean: 0.636
Median: 0.656
SD: 0.051
IQR: 0.015","Mean: 4.018
Median: 4.016
SD: 0.04
IQR: 0.047","Mean: 22.093
Median: 21.923
SD: 1.475
IQR: 1.884"
"17","stock_span","baseline","Mean: 15.417
Median: 15.42
SD: 0.013
IQR: 0.01","Mean: 0.974
Median: 0.981
SD: 0.026
IQR: 0.011","Mean: 4.024
Median: 4.023
SD: 0.059
IQR: 0.047","Mean: 22.571
Median: 22.557
SD: 0.763
IQR: 0.805"
"18","stock_span","optimized","Mean: 15.414
Median: 15.41
SD: 0.01
IQR: 0.01","Mean: 0.996
Median: 0.986
SD: 0.033
IQR: 0.015","Mean: 4.048
Median: 4.062
SD: 0.053
IQR: 0.062","Mean: 22.471
Median: 22.511
SD: 0.946
IQR: 1.818"
"19","strassen","baseline","Mean: 18.047
Median: 18.05
SD: 0.014
IQR: 0.02","Mean: 2.576
Median: 2.596
SD: 0.052
IQR: 0.073","Mean: 4.028
Median: 4.031
SD: 0.054
IQR: 0.086","Mean: 24.066
Median: 23.972
SD: 0.56
IQR: 0.682"
"20","strassen","optimized","Mean: 18.046
Median: 18.05
SD: 0.012
IQR: 0.01","Mean: 2.584
Median: 2.603
SD: 0.047
IQR: 0.028","Mean: 4.031
Median: 4.016
SD: 0.094
IQR: 0.078","Mean: 24.036
Median: 24.066
SD: 0.433
IQR: 0.61"
